 ,Label,Area,Mean,StdDev,Mode,Min,Max,XM,YM,Perim.,IntDen,%Area,RawIntDen
1,Mask of MAX_1_L_2_3.ome-3.tif,11658.542,255,0,255,255,255,146.599,161.785,4148.986,2972928.222,100,7694625
2,Mask of MAX_1_L_1_1.ome-1.tif,18793.531,255,0,255,255,255,153.674,154.617,9485.382,4792350.442,100,12403710
3,Mask of MAX_1_L_1_1.ome-2.tif,7882.990,255,0,255,255,255,147.590,158.796,5200.945,2010162.536,100,5202765
4,Mask of MAX_1_L_1_1.ome-3.tif,10681.813,255,0,255,255,255,138.681,161.728,2938.106,2723862.355,100,7049985
5,Mask of MAX_1_L_1_2.ome-1.tif,24874.905,255,0,255,255,255,144.920,155.732,8066.747,6343100.739,100,16417410
6,Mask of MAX_1_L_1_2.ome-2.tif,8083.900,255,0,255,255,255,130.543,156.328,4970.069,2061394.439,100,5335365
7,Mask of MAX_1_L_1_2.ome-3.tif,16386.482,255,0,255,255,255,136.016,142.820,4359.611,4178552.834,100,10815060
8,Mask of MAX_1_L_1_3.ome-1.tif,14359.228,255,0,255,255,255,168.495,150.652,5606.086,3661603.227,100,9477075
9,Mask of MAX_1_L_1_3.ome-3.tif,16719.914,255,0,255,255,255,145.152,119.544,5487.774,4263578.088,100,11035125
10,Mask of MAX_1_L_2_1.ome-1.tif,21893.718,255,0,255,255,255,156.957,158.201,9520.146,5582898.116,100,14449830
11,Mask of MAX_1_L_2_1.ome-2.tif,8848.515,255,0,255,255,255,152.330,147.601,5803.100,2256371.239,100,5840010
12,Mask of MAX_1_L_2_1.ome-3.tif,11820.429,255,0,255,255,255,170.995,137.620,4017.170,3014209.313,100,7801470
13,Mask of MAX_1_L_2_2.ome-1.tif,17330.370,255,0,255,255,255,161.853,160.100,7477.521,4419244.256,100,11438025
14,Mask of MAX_1_L_2_2.ome-2.tif,4448.212,255,0,255,255,255,152.376,148.156,3270.257,1134294.039,100,2935815
15,Mask of MAX_1_L_2_2.ome-3.tif,6733.170,255,0,255,255,255,180.204,156.489,3438.791,1716958.414,100,4443885
16,Mask of MAX_1_L_2_3.ome-1.tif,13811.750,255,0,255,255,255,165.240,166.171,5445.346,3521996.291,100,9115740
17,Mask of MAX_1_L_2_3.ome-2.tif,8333.491,255,0,255,255,255,159.635,155.654,3963.160,2125040.226,100,5500095
